日付,時刻,場所,場所コード
2015/01/14,09:50:57,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/14,09:57:03,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/14,09:57:09,3号館  3F 学生部室 入室リーダ,803031100
2015/01/14,09:57:13,3号館  3F 学生部室 入室リーダ,803031100
2015/01/14,10:10:08,3号館  3F 学生部室 入室リーダ,803031100
2015/01/14,10:10:12,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/15,13:10:08,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/15,21:20:13,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/15,21:36:59,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/16,19:36:05,1号館  1F オープンなゲート1 退室リーダB,801019900
2015/01/18,13:31:27,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/01/19,11:51:59,1号館  1F オープンなゲート1 退室リーダB,801019900
2015/01/19,12:08:53,1号館  1F オープンなゲート2 入室リーダA,801019900
2015/01/19,12:51:53,1号館  2F オープンなゲート1 退室リーダB,801029900
2015/01/19,12:52:54,2号館  2F オープンなゲート5 入室リーダA,802029900
2015/01/19,12:55:59,2号館  9F 2901情報コンセント教室 出管CR 入室リーダ2,802090100
2015/01/19,14:51:27,2号館  9F 2901情報コンセント教室 出管CR 入室リーダ1,802090100
2015/01/19,16:28:32,2号館  2F オープンなゲート1 退室リーダB,802029900
2015/01/19,16:29:59,1号館  2F オープンなゲート2 入室リーダA,801029900
2015/01/19,19:21:53,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/01/20,20:32:52,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/20,22:56:02,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/20,23:06:47,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/01/21,12:00:09,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/21,12:06:40,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/21,12:26:40,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/21,12:28:19,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/01/21,19:45:22,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/01/21,19:47:13,2号館  2F オープンなゲート6 入室リーダA,802029900
2015/01/21,21:26:43,2号館  2F オープンなゲート1 退室リーダB,802029900
2015/01/21,23:46:36,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/21,23:59:27,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/01/22,11:10:31,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/22,14:24:50,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/22,22:18:01,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/22,22:19:47,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/22,22:36:38,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/23,17:29:02,2号館  2F オープンなゲート6 入室リーダA,802029900
2015/01/23,17:29:33,2号館  3F オープンなゲート1 退室リーダB,802039900
2015/01/23,17:32:20,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/23,17:33:41,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/01/24,14:44:53,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/24,14:49:21,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/01/25,08:18:22,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/25,08:23:11,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/25,09:17:11,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/25,09:22:38,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/01/25,09:27:02,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/25,09:42:28,2号館  2F オープンなゲート2 入室リーダA,802029900
2015/01/25,09:42:29,2号館  2F オープンなゲート3 入室リーダA,802029900
2015/01/25,11:13:05,2号館  2F オープンなゲート5 入室リーダA,802029900
2015/01/25,17:38:42,1号館  2F オープンなゲート2 退室リーダB,801029900
2015/01/25,19:01:11,1号館  2F オープンなゲート2 入室リーダA,801029900
2015/01/25,20:22:51,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/25,20:42:04,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/01/25,22:51:44,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/26,17:08:50,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/26,18:36:27,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/01/27,14:03:49,2号館  2F オープンなゲート6 入室リーダA,802029900
2015/01/27,14:04:51,2号館  3F オープンなゲート2 退室リーダB,802039900
2015/01/27,14:05:32,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/27,14:10:49,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/27,14:11:47,2号館  3F オープンなゲート1 入室リーダA,802030600
2015/01/27,14:18:29,2号館  3F オープンなゲート2 退室リーダB,802039900
2015/01/27,14:19:08,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/27,14:19:36,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/27,14:21:21,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/01/27,22:07:39,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/01/27,22:12:31,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/01/28,14:45:30,1号館  2F オープンなゲート1 退室リーダB,801029900
2015/01/28,14:54:11,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/28,15:03:28,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/29,16:25:00,2号館  2F オープンなゲート6 入室リーダA,802029900
2015/01/29,16:25:50,2号館  3F オープンなゲート1 退室リーダB,802039900
2015/01/29,16:26:31,3号館  3F ELVホール/廊下 入室リーダ,803039900
2015/01/29,16:54:32,3号館  3F ELVホール/廊下 退室リーダ,803039900
2015/01/29,16:56:09,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/01/29,20:55:36,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/01/29,21:08:43,1号館  1F オープンなゲート2 入室リーダA,801019900
2015/01/30,13:55:15,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/01/31,16:53:52,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/02/01,15:17:31,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/02/01,15:18:02,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/02/01,15:18:22,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/02/02,20:04:24,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/02/02,23:30:18,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/02/02,23:38:39,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/02/03,07:10:49,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/02/03,07:16:54,1号館  1F 風除室3/廊下3 入室リーダ,801019900
2015/02/03,08:32:03,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/02/03,08:32:09,1号館  1F オープンなゲート2 入室リーダA,801019900
2015/02/03,08:32:37,1号館  1F 風除室3/廊下3 退室リーダ,801019900
